pitchid,date,time,pa_number,pa_pitch_number,pitcher,pitcherid,throws,field_team,batter,batterid,batside,bat_team,pitcher_set,inning,inning_half,outs,balls,strikes,pitch_type_tagged,pitch_type_auto,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_z,plate_loc_x,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,exit_speed,angle,direction,hit_spin_rate,pos_at_100_x,pos_at_100_y,pos_at_100_z,distance,last_tracked_distance,bearing,hang_time,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,home_team,away_team,stadium,levelid,leagueid,trackman_gameid,pitch_uid,effective_velo,max_height,measured_duration,speed_drop,pitch_last_measured_x,pitch_last_measured_y,pitch_last_measured_z,contact_position_x,contact_position_y,contact_position_z
1,2020-09-06,13:10:54,1,1,"deGrom, Jacob",594798,Right,"New York Mets","McCutchen, Andrew",457705,Right,"Philadelphia Phillies",,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,97.9479,-3.15966,-3.67911,2450.65,210.021,NULL,5.50604,1.33156,6.82227,-10.7031,17.6364,6.50728,1.72929,-1.48664,90.4749,-5.15734,-2.45435,0.383149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.45741,10.4591,-1.09828,50.0022,5.29773,8.93624,-142.303,-8.22129,-9.25156,28.9832,-10.4661,121,143,CITI,MLB,NL,20200906-CITI-1,355a9188-648d-491d-814d-5f575e722ff7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2020-09-06,13:11:08,1,2,"deGrom, Jacob",594798,Right,"New York Mets","McCutchen, Andrew",457705,Right,"Philadelphia Phillies",,1,Top,0,1,0,Undefined,Fastball,InPlay,Undefined,Undefined,Out,0,0,statcast,97.6362,-2.71083,-2.28111,2417.27,208.458,NULL,5.42556,1.29682,7.07109,-12.0961,16.3923,7.94552,1.95501,-0.113058,90.0276,-4.98361,-0.780707,0.384154,88.6981,53.705,17.7199,4691.83,NULL,NULL,NULL,235.743,NULL,32.9276,6.08034,-4.922,9.66567,-1.16392,50.0006,5.25754,5.39878,-142.065,-7.12736,-10.1548,29.6679,-12.2289,121,143,CITI,MLB,NL,20200906-CITI-1,e42681f1-bab9-498e-bc69-ae5ee1759ede,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2020-09-06,13:11:51,2,1,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,0,0,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,99.1166,-2.58217,-2.35954,2505.38,216.386,NULL,5.42758,1.26965,6.86712,-10.9784,16.7463,10.3519,2.15785,-0.0194309,91.0608,-4.64949,-0.401388,0.378971,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.28507,9.85929,-1.12491,50.003,5.25863,5.59841,-144.196,-6.87168,-13.3158,31.6309,-11.2852,121,143,CITI,MLB,NL,20200906-CITI-1,3a57f821-c945-4d0b-a1f1-24ed302df3b3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2020-09-06,13:12:12,2,2,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,0,1,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,99.1865,-1.43059,-2.89544,2543.48,221.38,NULL,5.455,1.26502,6.86708,-11.6993,16.0966,9.90537,3.17612,-0.550604,90.6258,-3.64322,-1.01814,0.379457,82.7058,57.217,107.195,NULL,NULL,NULL,NULL,225.167,NULL,122.651,5.17727,-6.22854,9.23091,-1.08598,50.002,5.35878,6.97051,-144.293,-3.99426,-13.1478,33.243,-12.687,121,143,CITI,MLB,NL,20200906-CITI-1,b0d8947b-75c8-422c-b621-5d13c5e8c6a2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2020-09-06,13:12:36,2,3,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,0,2,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,99.7915,-0.652177,-3.33753,2564.27,204.647,NULL,5.44813,1.08805,6.92844,-10.0447,17.3951,9.7039,4.01747,-1.14497,91.1753,-2.55357,-1.50066,0.377018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.22793,9.72286,-0.884486,50.004,5.40281,8.14228,-145.158,-1.98898,-13.3196,33.3086,-11.3838,121,143,CITI,MLB,NL,20200906-CITI-1,170d29da-83ef-4ecb-a3fe-e70c29a212bd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2020-09-06,13:12:54,2,4,"deGrom, Jacob",594798,Right,"New York Mets","Hoskins, Rhys",656555,Right,"Philadelphia Phillies",,1,Top,1,1,2,Undefined,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,statcast,99.669,-1.84961,-2.37153,2546.35,206.206,NULL,5.44518,1.1165,6.83203,-11.9008,15.4121,9.52662,2.76611,-0.253725,91.8251,-4.09061,-0.572433,0.376145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.80849,8.9115,-0.969342,50.0071,5.3213,5.69057,-145.1,-5.08727,-12.5048,30.9794,-12.9973,121,143,CITI,MLB,NL,20200906-CITI-1,4a569079-ffdc-44f7-8fd8-d9ee56349fc8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2020-09-06,13:13:42,3,1,"deGrom, Jacob",594798,Right,"New York Mets","Harper, Bryce",547180,Left,"Philadelphia Phillies",,1,Top,2,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,99.6441,-1.7485,-2.02162,2543.36,213.649,NULL,5.47144,1.24847,7.00922,-11.2047,16.1099,7.53894,2.94821,0.0384826,91.7832,-3.85981,-0.597439,0.376157,80.8679,46.7287,-142.045,NULL,NULL,NULL,NULL,235.132,NULL,-144.968,3.80871,-4.63506,9.26864,-1.12898,50.007,5.35986,4.86976,-145.104,-4.80667,-9.97618,31.059,-12.2355,121,143,CITI,MLB,NL,20200906-CITI-1,05e52e23-f621-44c5-891a-b1a328736ad8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2020-09-06,13:14:10,3,2,"deGrom, Jacob",594798,Right,"New York Mets","Harper, Bryce",547180,Left,"Philadelphia Phillies",,1,Top,2,0,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,99.1968,-2.41085,-1.1801,2372.44,212.303,NULL,5.46979,1.23132,6.99253,-10.5504,17.0237,7.4305,2.39758,0.777405,91.3987,-4.39739,0.224483,0.377939,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.36514,9.9327,-1.16263,50.0058,5.31745,2.72809,-144.447,-6.43396,-9.30669,30.8865,-11.0024,121,143,CITI,MLB,NL,20200906-CITI-1,985d0561-34ba-4fc7-a36d-9b2f11ee20db,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2020-09-06,13:14:37,3,3,"deGrom, Jacob",594798,Right,"New York Mets","Harper, Bryce",547180,Left,"Philadelphia Phillies",,1,Top,2,0,2,Undefined,Fastball,InPlay,Undefined,Undefined,Single,0,0,statcast,99.2525,-1.41386,-1.1096,2367.98,212.635,NULL,5.57115,1.12265,6.9163,-11.2177,16.3738,6.40189,3.34889,0.645693,91.1244,-3.53342,0.102527,0.378059,104.038,2.66375,-2.10504,3470.88,NULL,NULL,NULL,95.1768,NULL,-3.72636,0.668055,-3.79886,9.34232,-1.05625,50.0013,5.4775,2.5876,-144.586,-3.94208,-8.08554,32.0156,-12.2867,121,143,CITI,MLB,NL,20200906-CITI-1,09dfa9fb-fbb2-445d-9a34-9c14db791b47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2020-09-06,13:15:27,4,1,"deGrom, Jacob",594798,Right,"New York Mets","Gregorius, Didi",544369,Left,"Philadelphia Phillies",,1,Top,2,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,98.5101,-1.06748,-0.852577,2526.68,208.501,NULL,5.48291,1.16977,6.9057,-11.7156,16.3071,8.11791,3.53445,1.0697,90.3495,-3.28339,0.685367,0.381001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.67592,9.22034,-1.12006,50.0005,5.4105,1.86831,-143.524,-3.06067,-9.79506,31.9022,-12.8554,121,143,CITI,MLB,NL,20200906-CITI-1,43937e0c-8649-403b-980c-d867df5eac92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2020-09-06,13:16:03,4,2,"deGrom, Jacob",594798,Right,"New York Mets","Gregorius, Didi",544369,Left,"Philadelphia Phillies",,1,Top,2,1,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,92.4609,-0.902643,-1.75838,2531.53,158.249,NULL,5.51219,1.10312,7.0016,-25.6417,5.94094,-4.42882,2.55507,-0.864828,85.8364,-5.71498,-2.59277,0.404479,9.93061,68.3667,-142.688,684.283,NULL,NULL,NULL,4.99002,NULL,-156.163,1.04851,1.99926,3.46959,-0.993803,50.0045,5.44522,4.27449,-134.743,-2.92267,3.7236,25.6853,-25.7124,121,143,CITI,MLB,NL,20200906-CITI-1,d6e9fd19-cd45-4b13-ac50-95c355f522a4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,2020-09-06,13:16:28,4,3,"deGrom, Jacob",594798,Right,"New York Mets","Gregorius, Didi",544369,Left,"Philadelphia Phillies",,1,Top,2,2,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,92.18,-0.996226,-1.30057,2510.44,163.289,NULL,5.5488,1.14805,6.81548,-27.0089,4.69861,-3.81079,2.38929,-0.356163,85.7646,-6.06046,-2.0183,0.405278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.77762,2.80411,-1.06266,50.0024,5.47203,3.16932,-134.375,-3.17768,3.29944,25.0063,-26.9687,121,143,CITI,MLB,NL,20200906-CITI-1,0b1d5973-25cc-48ce-885b-542a262693c5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,2020-09-06,13:17:03,4,4,"deGrom, Jacob",594798,Right,"New York Mets","Gregorius, Didi",544369,Left,"Philadelphia Phillies",,1,Top,2,2,1,Undefined,Changeup,InPlay,Undefined,Undefined,Out,0,0,statcast,90.8311,-1.26377,-2.37509,1712.61,236.993,NULL,5.47957,1.00764,6.96039,-32.0862,0.864968,15.8376,1.65616,0.16535,83.9582,-7.29483,0.620771,0.413149,94.5883,28.1123,24.4169,NULL,NULL,NULL,NULL,364.234,NULL,30.1489,4.86873,-9.29024,0.805588,-0.868261,50.002,5.38658,5.00323,-132.247,-3.89595,-16.5623,26.4731,-30.7331,121,143,CITI,MLB,NL,20200906-CITI-1,af30b2cb-2e7f-44dd-a777-91226da0891a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,2020-09-06,13:19:54,1,1,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Nimmo, Brandon",607043,Left,"New York Mets",,1,Bottom,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,90.4298,-0.9051,-2.80006,2204.44,236.312,NULL,4.75389,1.78713,6.93852,-21.8781,11.4666,16.6855,2.10712,0.62708,82.9837,-5.03717,0.359988,0.415609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.89534,6.53275,-1.62077,50.0018,4.68745,5.9328,-131.61,-2.74236,-17.4203,26.9931,-20.6714,121,143,CITI,MLB,NL,20200906-CITI-1,3f4f20e7-e7e3-4c19-b451-df784dee4b4d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,2020-09-06,13:20:12,1,2,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Nimmo, Brandon",607043,Left,"New York Mets",,1,Bottom,0,0,1,Undefined,Other,InPlay,Undefined,Undefined,Single,0,0,statcast,76.9368,2.52112,-0.164694,2347.09,64.764,NULL,4.9536,1.8186,6.63659,-55.8673,-9.40303,-15.2865,2.60736,0.394001,70.4647,-8.05423,-3.07363,0.490604,90.7343,4.01245,5.91951,1211.51,NULL,NULL,NULL,88.5492,NULL,5.44596,0.717118,8.35121,-5.92234,-1.80036,50.0005,5.09761,0.711342,-111.939,3.50495,10.5233,21.5028,-39.6322,121,143,CITI,MLB,NL,20200906-CITI-1,0f395c81-4a21-4566-8107-4b115a359703,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,2020-09-06,13:20:58,2,1,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Conforto, Michael",624424,Left,"New York Mets",,1,Bottom,0,0,0,Undefined,Other,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,77.0171,1.76951,0.0033894,2470.62,56.8394,NULL,5.02702,1.93484,6.57328,-54.757,-8.7831,-16.2379,2.08622,0.584808,71.2199,-8.54145,-3.07408,0.488008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.90396,-5.29633,-1.92744,50.0042,5.12246,0.410845,-112.17,2.05752,11.365,19.9911,-38.9385,121,143,CITI,MLB,NL,20200906-CITI-1,ac547c84-467a-40e0-9a63-e1723bb3fb87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,2020-09-06,13:21:48,2,2,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Conforto, Michael",624424,Left,"New York Mets",,1,Bottom,0,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,83.8744,0.558045,-1.82313,1481.84,268.979,NULL,4.76,2.099,6.49081,-40.0946,-1.56166,15.3718,1.93105,1.70595,77.6674,-6.98696,1.08256,0.446773,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.87733,-0.996214,-1.97878,50.0037,4.78004,3.45674,-122.2,0.061529,-13.5407,22.1625,-33.6966,121,143,CITI,MLB,NL,20200906-CITI-1,2530bcf4-ea69-4df6-99ec-898c1abaedfe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,2020-09-06,13:22:41,2,3,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Conforto, Michael",624424,Left,"New York Mets",,1,Bottom,0,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,84.2607,0.109843,-2.2314,1569.7,259.946,NULL,4.69725,2.09672,6.4044,-38.4489,-0.288801,14.6632,1.59417,1.26597,78.0953,-7.1192,0.538467,0.444607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.58508,-0.186333,-1.94419,50.0026,4.68686,4.36775,-122.745,-0.852819,-13.2248,22.1246,-32.4608,121,143,CITI,MLB,NL,20200906-CITI-1,babc2a1b-1eb0-4e58-9b15-77dae51e77ec,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,2020-09-06,13:23:07,2,4,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Conforto, Michael",624424,Left,"New York Mets",,1,Bottom,0,2,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,92.2301,-0.627407,-2.3847,2192.46,231.175,NULL,4.81732,1.90679,6.54471,-18.2766,13.6097,12.6481,2.71894,0.772783,84.9522,-4.07527,0.00511774,0.406418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.52704,7.61331,-1.74823,50.0041,4.76537,5.2024,-134.325,-2.03785,-13.8754,26.7312,-18.1425,121,143,CITI,MLB,NL,20200906-CITI-1,c3d073ed-3682-48ce-882e-9504870a3d1b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,2020-09-06,13:23:41,2,5,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Conforto, Michael",624424,Left,"New York Mets",,1,Bottom,0,2,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,91.5973,-0.100036,-4.7191,2101.73,235.5,NULL,4.78675,1.82872,6.96437,-26.2643,6.20752,17.5321,2.50733,-1.01289,84.3461,-5.04907,-1.41581,0.410133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-10.7854,3.4253,-1.54524,50.0028,4.76836,10.4477,-133.079,-1.03901,-19.5247,26.0818,-25.974,121,143,CITI,MLB,NL,20200906-CITI-1,c9b05fe7-da09-4f9b-88a2-f2234b2ae38a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,2020-09-06,13:24:24,2,6,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Conforto, Michael",624424,Left,"New York Mets",,1,Bottom,1,3,2,Undefined,Other,InPlay,Undefined,Undefined,Double,0,0,statcast,78.7924,1.45268,-0.542559,2291.19,67.3889,NULL,5.0497,1.61899,6.53484,-51.9408,-8.20316,-13.4744,2.054,-0.00150508,73.1366,-8.30784,-3.09012,0.475992,101.063,14.7806,30.652,2919.92,NULL,NULL,NULL,228.869,NULL,37.7837,1.99812,7.23937,-4.86957,-1.57513,50.0045,5.12563,1.44287,-114.801,1.54013,9.72239,20.0276,-38.7167,121,143,CITI,MLB,NL,20200906-CITI-1,646ec88e-742f-4746-a146-6a2cdc0ddfea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,2020-09-06,13:25:28,3,1,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Davis, J.D.",605204,Right,"New York Mets",,1,Bottom,1,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,92.3773,-1.11502,-3.71109,2314.05,229.776,NULL,4.89851,1.81961,6.71774,-18.073,13.9176,14.5531,2.3733,-0.364211,84.7041,-4.52626,-0.959222,0.407082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.95889,7.93766,-1.58138,50.0041,4.81636,8.26321,-134.321,-3.17669,-16.445,27.8791,-17.6068,121,143,CITI,MLB,NL,20200906-CITI-1,5dff4017-a9e0-4a03-884b-27dae48354a2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,2020-09-06,13:26:08,3,2,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Davis, J.D.",605204,Right,"New York Mets",,1,Bottom,1,0,1,Undefined,Sinker,InPlay,Undefined,Undefined,Out,0,0,statcast,90.4459,-0.927086,-2.93691,2168.94,237.23,NULL,4.79578,1.85661,7.15394,-25.4529,7.89722,16.6389,1.83481,0.578685,83.0603,-5.731,0.214335,0.415643,85.9437,-27.0191,-46.4201,NULL,NULL,NULL,NULL,4.28443,NULL,-45.7994,0.0374851,-9.90941,4.58266,-1.6926,50.0014,4.73,6.24971,-131.615,-2.90104,-17.441,27.0676,-24.1037,121,143,CITI,MLB,NL,20200906-CITI-1,b175ae70-83f1-4cd9-89c4-19f84c7a6f35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,2020-09-06,13:27:00,4,1,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Smith, Dominic",642086,Left,"New York Mets",,1,Bottom,2,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,92.0084,-0.654622,-2.39905,2354.74,229.355,NULL,4.87866,2.04663,6.53084,-17.0086,15.2854,14.8879,2.86083,1.08551,84.0347,-3.87741,0.426291,0.409009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.836,8.57022,-1.88742,50.0017,4.82529,5.15469,-133.927,-2.05266,-16.0467,28.98,-16.6077,121,143,CITI,MLB,NL,20200906-CITI-1,611adcd5-877e-4be1-98fc-00b964261c55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,2020-09-06,13:27:26,4,2,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Smith, Dominic",642086,Left,"New York Mets",,1,Bottom,2,1,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,93.0263,-1.23148,-2.88078,2397.92,228.197,NULL,4.82267,1.77263,7.06771,-20.3159,11.1898,16.1896,2.0118,0.504018,85.3992,-5.06576,0.184211,0.403986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.63642,6.471,-1.60765,50.0063,4.73963,6.30862,-135.37,-3.54481,-17.9626,28.398,-20.1179,121,143,CITI,MLB,NL,20200906-CITI-1,a8a5dbd6-81af-41d7-86d8-359a5b8c7a20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,2020-09-06,13:27:51,4,3,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Smith, Dominic",642086,Left,"New York Mets",,1,Bottom,2,1,1,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,92.2196,0.0576315,-3.40982,2316.68,229.353,NULL,4.91592,1.75195,6.88577,-19.3868,12.6569,14.7007,3.35301,-0.133266,84.5593,-3.60887,-0.629995,0.407421,78.2764,21.9921,-166.677,1141.97,NULL,NULL,NULL,209.669,NULL,-166.488,2.45602,-8.95242,6.91784,-1.54351,50.001,4.91054,7.54088,-134.168,-0.462579,-16.4049,27.6104,-19.4946,121,143,CITI,MLB,NL,20200906-CITI-1,187811d5-7ab6-4216-8af4-7080819aa6b8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,2020-09-06,13:28:27,4,4,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Smith, Dominic",642086,Left,"New York Mets",,1,Bottom,2,1,2,Undefined,Other,InPlay,Undefined,Undefined,Double,0,0,statcast,78.4456,1.09395,-0.272737,2529.08,50.216,NULL,5.06712,1.81098,6.68235,-54.2587,-9.56351,-15.8275,1.54634,0.242628,72.0057,-9.15684,-3.28678,0.481174,100.938,22.1044,1.82377,1550.96,NULL,NULL,NULL,379.766,NULL,-4.67909,4.27312,8.61801,-5.5903,-1.78546,50.0018,5.11475,0.954586,-114.211,0.772244,11.2853,22.7367,-39.4927,121,143,CITI,MLB,NL,20200906-CITI-1,6617e737-2a4b-4b02-9d4d-b6aad347bdc2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,2020-09-06,13:29:32,5,1,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Cano, Robinson",429664,Left,"New York Mets",,1,Bottom,2,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,92.3604,-0.468447,-1.92869,2158.53,232.845,NULL,4.90614,1.85081,6.96284,-18.7528,13.1124,12.8295,2.91745,1.16468,84.8436,-4.01235,0.499898,0.406284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.53404,7.31021,-1.73778,50.0043,4.86855,4.13352,-134.532,-1.68048,-13.8866,27.6975,-18.705,121,143,CITI,MLB,NL,20200906-CITI-1,44b3bfe2-a130-4903-9346-57b52820fb61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,2020-09-06,13:29:55,5,2,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Cano, Robinson",429664,Left,"New York Mets",,1,Bottom,2,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,85.1901,-0.198724,-2.59513,1465.33,258.599,NULL,4.82347,1.96193,6.55714,-33.9114,3.75116,14.2131,1.81538,0.765626,78.1743,-6.60614,0.101148,0.441699,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.51447,2.11596,-1.79011,50.0047,4.79387,5.21642,-123.994,-1.39332,-13.2632,24.7282,-28.8817,121,143,CITI,MLB,NL,20200906-CITI-1,02cd9465-07e0-4d13-8b4e-0b43092e1c84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,2020-09-06,13:30:42,5,3,"Nola, Aaron",605400,Right,"Philadelphia Phillies","Cano, Robinson",429664,Left,"New York Mets",,1,Bottom,2,1,1,Undefined,Fastball,InPlay,Undefined,Undefined,Out,0,0,statcast,91.8211,0.17766,-3.52023,2057.44,224.933,NULL,4.89528,1.77885,6.97966,-19.3739,12.8522,13.036,3.44256,-0.340237,84.472,-3.48005,-1.06029,0.408578,96.2733,60.6499,13.8,NULL,NULL,NULL,NULL,214.129,NULL,11.1305,6.80489,-8.02594,6.98616,-1.56836,50.0002,4.89722,7.81729,-133.602,-0.181812,-14.6374,26.3683,-19.4282,121,143,CITI,MLB,NL,20200906-CITI-1,81e5d5a7-89a5-4a4f-b0d4-3aebbed075eb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,2020-09-06,13:33:06,1,1,"deGrom, Jacob",594798,Right,"New York Mets","Segura, Jean",516416,Right,"Philadelphia Phillies",,2,Top,0,0,0,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,96.6668,-2.3875,-2.73781,2330.9,210.816,NULL,5.4572,1.34906,6.85874,-11.5616,17.5534,8.95431,2.3164,-0.402188,88.9364,-4.56214,-1.04606,0.388356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.60392,10.2388,-1.17921,50.0018,5.29989,6.43469,-140.626,-6.24346,-11.3104,29.5814,-11.5077,121,143,CITI,MLB,NL,20200906-CITI-1,919aa82e-1e88-4736-bc29-eb713f83542a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,2020-09-06,13:33:24,1,2,"deGrom, Jacob",594798,Right,"New York Mets","Segura, Jean",516416,Right,"Philadelphia Phillies",,2,Top,0,0,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,97.3865,-1.73369,-2.83834,2484.54,205.516,NULL,5.5351,1.24234,6.92801,-10.552,18.277,5.52004,3.07722,-0.883569,89.0326,-3.72686,-1.79281,0.386444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-3.80487,10.5122,-1.06802,50.0046,5.42212,6.84437,-141.663,-4.63482,-7.74492,31.9626,-10.7817,121,143,CITI,MLB,NL,20200906-CITI-1,60abc439-7766-4730-8211-38f3c2ceab30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
