pitchid,date,time,pa_number,pa_pitch_number,pitcher,pitcherid,throws,field_team,batter,batterid,batside,bat_team,pitcher_set,inning,inning_half,outs,balls,strikes,pitch_type_tagged,pitch_type_auto,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_z,plate_loc_x,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,exit_speed,angle,direction,hit_spin_rate,pos_at_100_x,pos_at_100_y,pos_at_100_z,distance,last_tracked_distance,bearing,hang_time,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,home_team,away_team,stadium,levelid,leagueid,trackman_gameid,pitch_uid,effective_velo,max_height,measured_duration,speed_drop,pitch_last_measured_x,pitch_last_measured_y,pitch_last_measured_z,contact_position_x,contact_position_y,contact_position_z
191,2020-09-06,15:23:22,2,1,"deGrom, Jacob",594798,Right,"New York Mets","Bohm, Alec",664761,Right,"Philadelphia Phillies",,7,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,91.1778,-2.00195,-1.69281,2605.61,155.952,NULL,5.47941,1.31267,6.74519,-28.8547,3.5196,-1.33482,1.24547,-0.345375,85.2205,-7.3877,-1.94379,0.409517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.344562,2.38368,-1.2012,50.0044,5.3346,3.96743,-132.852,-5.53544,0.625977,23.7017,-27.8376,121,143,CITI,MLB,NL,20200906-CITI-1,e59819e7-3a1c-4737-bc48-4ba49379a95f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,2020-09-06,15:23:35,2,2,"deGrom, Jacob",594798,Right,"New York Mets","Bohm, Alec",664761,Right,"Philadelphia Phillies",,7,Top,1,1,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,90.315,0.993025,-1.61909,2686.72,162.109,NULL,5.5447,1.28127,6.53592,-30.1151,2.9087,-3.81292,3.94597,-0.521798,83.8891,-4.66768,-2.33673,0.413604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.70641,1.35401,-1.16744,50.0013,5.59907,3.83731,-131.642,1.36394,3.041,23.8437,-29.7578,121,143,CITI,MLB,NL,20200906-CITI-1,b921a01c-159d-42a3-bb99-00a689f5c802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,2020-09-06,15:23:54,2,3,"deGrom, Jacob",594798,Right,"New York Mets","Bohm, Alec",664761,Right,"Philadelphia Phillies",,7,Top,1,2,0,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,88.2798,0.780094,-0.480293,2590.74,142.274,NULL,5.50541,1.25712,6.75567,-31.9991,2.42159,-7.04147,3.55146,0.231691,82.3563,-5.22174,-1.80421,0.422262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.73851,1.14733,-1.2224,50.0017,5.54119,1.29009,-128.76,0.795739,6.39864,21.8639,-30.2084,121,143,CITI,MLB,NL,20200906-CITI-1,bfe51102-5814-4c82-a53b-1c9945c9dbb0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,2020-09-06,15:24:10,2,4,"deGrom, Jacob",594798,Right,"New York Mets","Bohm, Alec",664761,Right,"Philadelphia Phillies",,7,Top,1,2,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,97.7691,-1.87619,-2.16981,2081.44,202.354,NULL,5.42698,1.2305,6.90959,-11.1963,16.9975,7.39368,2.78495,-0.130236,90.6865,-3.97736,-0.77833,0.382163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.53922,9.72997,-1.09816,50.006,5.30425,5.15175,-142.417,-5.03786,-9.48228,27.5821,-11.856,121,143,CITI,MLB,NL,20200906-CITI-1,3268c746-91c8-4275-9337-199c45331e27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,2020-09-06,15:24:26,2,5,"deGrom, Jacob",594798,Right,"New York Mets","Bohm, Alec",664761,Right,"Philadelphia Phillies",,7,Top,1,2,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,statcast,91.8274,-2.03777,-2.57416,2652.85,184.979,NULL,5.46524,1.07409,6.82848,-27.5464,4.15747,-2.49335,1.31061,-1.48295,86.5041,-7.15244,-3.04044,0.405254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.837885,2.69218,-0.907957,50.0025,5.32148,6.09305,-133.794,-5.62611,1.55964,21.594,-27.1629,121,143,CITI,MLB,NL,20200906-CITI-1,66320293-612c-4b15-82f6-e65a2ac4eff8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,2020-09-06,15:25:06,3,1,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,91.6344,-1.00127,-2.65328,2526.44,142.273,NULL,5.40715,1.26818,6.57063,-27.5369,4.37469,-2.74501,2.19463,-1.39421,85.9112,-6.13761,-3.16747,0.40658,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.93513,2.60424,-1.08488,50.0023,5.32527,6.27381,-133.538,-3.193,1.72611,22.4881,-27.3582,121,143,CITI,MLB,NL,20200906-CITI-1,57c4bda6-faf1-40cb-ba05-adf03ff0c03f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,2020-09-06,15:25:20,3,2,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,1,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,91.263,-2.77343,-3.32136,1619.79,234.523,NULL,5.39431,1.09906,6.85705,-28.4169,4.09422,11.8279,0.496439,-0.946267,85.0248,-8.07186,-1.09545,0.410381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.24939,2.91974,-0.893257,50.0009,5.20424,7.33825,-132.712,-7.31163,-13.1228,24.431,-26.886,121,143,CITI,MLB,NL,20200906-CITI-1,8ebde10b-887c-4979-a22d-5057851f273b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,2020-09-06,15:25:41,3,3,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,2,0,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,92.672,-1.33445,-1.50115,2480.94,187.002,NULL,5.4706,1.25878,6.82758,-23.164,7.94433,-5.48961,2.32313,-0.568059,86.9729,-5.65533,-2.52956,0.40143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.6833,4.61061,-1.15998,50.0019,5.37407,3.71496,-135.15,-3.88023,5.08867,22.4689,-23.4286,121,143,CITI,MLB,NL,20200906-CITI-1,c037d31e-6f61-4564-95c4-c6eb1cb39b55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,2020-09-06,15:26:02,3,4,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,2,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,statcast,93.1077,-1.54601,-2.41164,956.001,223.389,NULL,5.43446,1.28603,6.7609,-22.9746,8.31792,-3.6146,2.10785,-1.2188,86.132,-5.85834,-3.09329,0.402617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.37102,4.95456,-1.12713,50.0066,5.32286,5.82237,-135.564,-4.37965,2.57606,27.0809,-22.8748,121,143,CITI,MLB,NL,20200906-CITI-1,f6136b33-f067-494c-8181-fea6eaf6562d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,2020-09-06,15:26:27,3,5,"deGrom, Jacob",594798,Right,"New York Mets","Knapp, Andrew",595284,Left,"Philadelphia Phillies",,7,Top,2,2,2,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,92.7491,-1.21066,-1.16313,2545.53,160.007,NULL,5.38184,1.25876,6.53897,-24.0256,7.06793,-5.67492,2.26929,-0.280984,86.9042,-5.69815,-2.22764,0.401335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.84959,4.1152,-1.17569,50.0036,5.28669,2.92543,-135.272,-3.61688,5.40483,23.0227,-24.3712,121,143,CITI,MLB,NL,20200906-CITI-1,4f48c9f2-236c-4660-afbb-c4d95a1c8b63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
